Sujet,Session,Trial,ErreurQ1,ErreurQ2,ErreurQ3,ErreurQ4,Difficulte,Groupe,DateHeure
375,Pretest,1,1,0,0,0,Facile,Controle,2024-11-29_13-30-29
375,Pretest,2,0,0,0,0,Facile,Controle,2024-11-29_13-30-29
375,Pretest,3,0,0,1,0,Facile,Controle,2024-11-29_13-30-29
375,Pretest,4,0,0,0,0,Difficile,Controle,2024-11-29_13-30-29
375,Pretest,5,0,0,1,0,Moyen,Controle,2024-11-29_13-30-29
375,Pretest,6,0,0,2,1,Difficile,Controle,2024-11-29_13-30-29
375,Pretest,7,2,0,1,1,Difficile,Controle,2024-11-29_13-30-29
375,Pretest,8,0,0,0,0,Moyen,Controle,2024-11-29_13-30-29
375,Pretest,9,0,0,0,0,Facile,Controle,2024-11-29_13-30-29
375,Pretest,10,0,0,0,0,Moyen,Controle,2024-11-29_13-30-29
375,Pretest,11,0,1,0,0,Facile,Controle,2024-11-29_13-30-29
375,Pretest,12,0,0,1,0,Difficile,Controle,2024-11-29_13-30-29
375,Pretest,13,0,1,0,0,Moyen,Controle,2024-11-29_13-30-29
375,Pretest,14,0,0,0,0,Facile,Controle,2024-11-29_13-30-29
375,Pretest,15,1,1,1,0,Difficile,Controle,2024-11-29_13-30-29
375,Pretest,16,0,0,0,0,Facile,Controle,2024-11-29_13-30-29
375,Pretest,17,0,0,0,0,Facile,Controle,2024-11-29_13-30-29
375,Pretest,18,1,0,0,0,Moyen,Controle,2024-11-29_13-30-29
375,Pretest,19,0,0,1,0,Moyen,Controle,2024-11-29_13-30-29
375,Pretest,20,0,0,0,0,Facile,Controle,2024-11-29_13-30-29
375,Pretest,21,0,1,0,0,Moyen,Controle,2024-11-29_13-30-29
375,Pretest,22,0,0,0,0,Difficile,Controle,2024-11-29_13-30-29
375,Pretest,23,0,2,1,0,Difficile,Controle,2024-11-29_13-30-29
375,Pretest,24,0,1,0,3,Difficile,Controle,2024-11-29_13-30-29
375,Pretest,25,0,0,0,0,Moyen,Controle,2024-11-29_13-30-29
375,Pretest,26,0,0,0,0,Facile,Controle,2024-11-29_13-30-29
